v3,1 ile 10. satır aralığı yönetici bazlı v3 performans tablosudur (Varış merkezinde 12:00 den önce karşılanan seferleri hesaplar),,,,,,,Only City,,,,,,,,Saatlik 1. slot yetişme oranları,,,,,,,,,,Saatlik 2. slot yetişme oranları,,,,,,,,,,Saatlik hesaplanan adetler,,,,,,"69,39%","97,53%",,,01:00 den 16:00 ya kadar yüklenen adetler,,,,,,,,,Günlük yetişme oranları,,,,,,
Mehmet Ali,0. gün 1. slot oran,0. gün 2. slot oran ,0. gün 1. slot Adet,0. gün 2. slot adet,hesaplanan_adet,gonderi_adet,,Mehmet Ali,0. gün 1. slot oran,0. gün 2. slot oran ,0. gün 1. slot Adet,0. gün 2. slot adet,hesaplanan_adet,gonderi_adet,,Mehmet Ali,17,18,19,20,21,22,23,0,,Mehmet Ali,17,18,19,20,21,22,23,0,,Mehmet Ali,17,18,19,20,21,22,23,0,,Mehmet Ali,%,Total Gönderi,,Gece inbound,V1,1,2,,Mehmet Ali,0. gün 1. slot oran,0. gün 2. slot oran ,0. gün 1. slot Adet,0. gün 2. slot adet,hesaplanan_adet,gonderi_adet
YTD,"31,90%","34,11%",864.064,923.923,2.708.684,4.528.845,,YTD,"25,87%","29,15%",700.743,789.561,1.852.584,4.521.004,,YTD,"61,03%","60,11%","67,74%","45,95%","17,08%","29,34%","18,86%","14,76%",,YTD,"7,08%","12,94%","15,12%","38,19%","41,79%","28,63%","45,79%","40,10%",,YTD,"1,19%","6,75%","10,72%","13,07%","12,71%","24,52%","28,41%","2,62%",,YTD,,4.528.845,,,373.203,"2,36%","0,85%",,YTD,"31,90%","34,11%",864.064,923.923,2.708.684,4.528.845
Ankara Kazan SC,"10,93%","32,20%",63.499,187.112,581.083,1.674.189,,Ankara Kazan SC,"12,32%","31,22%",71.611,181.432,372.212,1.666.783,,Ankara Kazan SC,"60,14%","47,48%","13,58%","5,98%","0,50%","0,02%","0,00%","0,00%",,Ankara Kazan SC,"22,55%","18,68%","46,71%","34,72%","54,60%","48,60%","29,74%","35,26%",,Ankara Kazan SC,53.451,226.667,101.250,232.515,301.213,351.501,354.815,52.777,,Ankara Kazan SC,,1.674.189,,,136.314,45.992,9.237,,Pazartesi,"30,08%","35,36%",187.370,220.258,622.894,958.562
Esenyurt SC ,"30,08%","39,22%",217.429,283.435,722.749,894.649,,Esenyurt SC ,"27,30%","39,21%",197.289,283.411,607.959,894.348,,Esenyurt SC ,"0,00%","79,52%","80,58%","39,01%","16,36%","5,15%","0,36%","0,00%",,Esenyurt SC ,"0,00%","6,85%","11,94%","19,06%","95,85%","63,61%","50,86%","99,57%",,Esenyurt SC ,0,61.831,244.104,18.333,186.976,106.284,264.045,13.076,,Esenyurt SC ,,894.649,,,86.275,11.933,12.615,,Salı,"26,79%","36,53%",131.779,179.651,491.831,794.238
Gebze SC,"31,60%","45,98%",227.316,330.757,719.321,954.570,,Gebze SC,"24,14%","30,87%",173.619,222.074,430.392,954.490,,Gebze SC,"9,70%","60,45%","62,57%","53,40%","33,86%","13,64%","13,13%","0,00%",,Gebze SC,"35,84%","7,60%","15,91%","51,71%","31,53%","74,02%","60,62%","108,88%",,Gebze SC,515,8.877,118.353,270.721,71.542,174.120,280.864,29.578,,Gebze SC,,954.570,,,84.695,22.375,7.003,,Çarşamba,"26,25%","37,57%",111.007,158.879,422.862,703.300
Bursa MH,"63,48%","11,05%",226.151,39.373,356.276,378.016,,Bursa MH,"43,92%","5,45%",156.460,19.400,176.795,377.978,,Bursa MH,"0,00%","0,00%","89,21%","86,14%","70,00%","63,89%","61,69%","32,31%",,Bursa MH,"0,00%","0,00%","0,00%","9,95%","3,03%","9,30%","54,09%","29,08%",,Bursa MH,0,0,4.636,21.137,9.665,270.383,51.205,20.990,,Bursa MH,,378.016,,,45.313,10.189,5.497,,Perşembe,"29,61%","35,45%",121.034,144.887,408.755,711.155
Antalya MH,"5,74%","39,38%",12.130,83.239,211.349,434.801,,Antalya MH,"5,06%","39,38%",10.702,83.237,174.058,434.801,,Antalya MH,"0,00%","0,00%","0,00%","49,58%","0,00%","7,43%","1,55%","0,00%",,Antalya MH,"0,00%","0,00%","0,00%","0,00%","0,00%","55,32%","37,53%","0,00%",,Antalya MH,0,0,0,17.118,0,180.266,237.417,0,,Antalya MH,,434.801,,,20.606,16.333,4.167,,Cuma,"26,88%","40,02%",117.005,174.244,435.364,727.866
Denizli MH,"99,30%","0,00%",38.768,0,39.043,59.086,,Denizli MH,"31,49%","0,00%",12.295,0,12.307,59.084,,Denizli MH,"0,00%","0,00%","0,00%","0,00%","0,00%","99,96%","99,80%","90,54%",,Denizli MH,"0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",,Denizli MH,0,0,0,0,0,16.062,40.724,2.300,,Denizli MH,,59.086,,,0,0,0,,Cumartesi,"59,90%","14,07%",195.869,46.004,326.978,633.724
İkitelli-Defne Transfer Merkezi,"99,88%","0,01%",78.771,7,78.863,133.534,,İkitelli-Defne Transfer Merkezi,"99,88%","0,01%",78.767,7,78.861,133.520,,İkitelli-Defne Transfer Merkezi,"0,00%","99,88%","99,99%","99,97%","99,46%","99,52%","99,93%","0,00%",,İkitelli-Defne Transfer Merkezi,"0,00%","0,03%","0,00%","0,00%","0,00%","0,01%","0,02%","0,00%",,İkitelli-Defne Transfer Merkezi,0,8.445,17.363,32.171,6.398,11.800,57.357,0,,İkitelli-Defne Transfer Merkezi,,133.534,,,0,0,0,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
