v3,1 ile 10. satır aralığı yönetici bazlı v3 performans tablosudur (Varış merkezinde 12:00 den önce karşılanan seferleri hesaplar),,,,,,,Only City,,,,,,,,Saatlik 1. slot yetişme oranları,,,,,,,,,,Saatlik 2. slot yetişme oranları,,,,,,,,,,Saatlik hesaplanan adetler,,,,,,"69,39%","97,53%",,,01:00 den 16:00 ya kadar yüklenen adetler,,,,,,,,,Günlük yetişme oranları,,,,,,
Ankara Kazan SC,"13,00%","28,22%",7.070,15.345,54.383,161.690,,Ankara Kazan SC,"12,36%","26,61%",6.721,14.473,35.043,161.690,,Ankara Kazan SC,"0,00%","55,50%","37,92%","4,76%","0,00%","0,00%","0,00%","0,00%",,Ankara Kazan SC,"0,00%","13,08%","25,43%","39,00%","46,56%","29,81%","22,53%","14,71%",,Ankara Kazan SC,0,25.916,7.009,30.190,22.131,34.988,35.821,5.635,,Ankara Kazan SC,"3,92%",161.690,,,8.322,0,1.268,,Pazartesi,"30,38%","41,97%",24.290,33.550,79.946,126.011
Esenyurt SC ,"32,99%","35,40%",19.260,20.668,58.384,70.612,,Esenyurt SC ,"28,70%","35,40%",16.758,20.667,49.108,70.612,,Esenyurt SC ,"0,00%","87,98%","93,77%","0,00%","5,18%","2,26%","0,80%","0,00%",,Esenyurt SC ,"0,00%","6,21%","2,00%","0,00%","65,59%","69,24%","44,26%","0,00%",,Esenyurt SC ,0,8.519,18.048,0,8.200,7.146,28.699,0,,Esenyurt SC ,,70.612,,,3.893,0,0,,Salı,"39,70%","23,42%",24.132,14.238,60.784,100.139
Gebze SC,"29,30%","53,47%",23.975,43.752,81.821,106.524,,Gebze SC,"20,42%","35,66%",16.704,29.177,49.104,106.523,,Gebze SC,"0,00%","79,92%","57,51%","54,10%","19,62%","20,74%","8,43%","0,00%",,Gebze SC,"0,00%","9,79%","31,59%","30,34%","63,52%","67,63%","69,12%","0,00%",,Gebze SC,0,5.489,7.654,26.401,18.910,10.577,37.493,0,,Gebze SC,,106.524,,,2.297,0,0,,Çarşamba,"34,71%","35,26%",18.758,19.055,54.039,89.247
Bursa MH,"75,99%","3,67%",26.925,1.302,35.434,36.962,,Bursa MH,"46,51%","1,80%",16.482,637,17.152,36.962,,Bursa MH,"0,00%","0,00%","0,00%","0,00%","0,00%","79,08%","0,00%","36,01%",,Bursa MH,"0,00%","0,00%","0,00%","0,00%","0,00%","2,16%","0,00%","23,27%",,Bursa MH,0,0,0,0,0,34.346,0,2.616,,Bursa MH,,36.962,,,627,0,0,,Perşembe,"0,00%","0,00%",0,0,0,0
Antalya MH,"0,30%","42,07%",58,8.237,19.580,42.581,,Antalya MH,"0,30%","42,07%",58,8.237,16.562,42.581,,Antalya MH,"0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,58%","0,00%",,Antalya MH,"0,00%","0,00%","0,00%","0,00%","0,00%","43,57%","40,64%","0,00%",,Antalya MH,0,0,0,0,0,21.101,21.480,0,,Antalya MH,,42.581,,,7.527,7.527,0,,Cuma,"0,00%","0,00%",0,0,0,0
Denizli MH,"99,88%","0,00%",4.839,0,4.845,5.257,,Denizli MH,"31,10%","0,00%",1.507,0,1.508,5.257,,Denizli MH,"0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","99,88%","0,00%",,Denizli MH,"0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",,Denizli MH,0,0,0,0,0,0,5.257,0,,Denizli MH,,5.257,,,0,0,0,,Cumartesi,"38,70%","30,76%",28.263,22.464,73.022,130.334
İkitelli-Defne Transfer Merkezi,"99,79%","0,00%",13.316,0,13.344,22.105,,İkitelli-Defne Transfer Merkezi,"99,79%","0,02%",13.316,3,13.344,22.105,,İkitelli-Defne Transfer Merkezi,"0,00%","0,00%","99,86%","0,00%","0,00%","0,00%","99,75%","0,00%",,İkitelli-Defne Transfer Merkezi,"0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,03%","0,00%",,İkitelli-Defne Transfer Merkezi,0,0,7.786,0,0,0,14.319,0,,İkitelli-Defne Transfer Merkezi,,22.105,,,0,0,0,,,,,,,,
4 Mayıs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mehmet Ali,0. gün 1. slot oran,0. gün 2. slot oran ,0. gün 1. slot Adet,0. gün 2. slot adet,hesaplanan_adet,gonderi_adet,,Mehmet Ali,0. gün 1. slot oran,0. gün 2. slot oran ,0. gün 1. slot Adet,0. gün 2. slot adet,hesaplanan_adet,gonderi_adet,,Mehmet Ali,17,18,19,20,21,22,23,0,,Mehmet Ali,17,18,19,20,21,22,23,0,,Mehmet Ali,17,18,19,20,21,22,23,0,,Mehmet Ali,%,Total Gönderi,Haftalık mp adeti,Gece inbound,V1 (01:00-16:00),1,2,,Mehmet Ali,0. gün 1. slot oran,0. gün 2. slot oran ,0. gün 1. slot Adet,0. gün 2. slot adet,hesaplanan_adet,gonderi_adet
19,"32,47%","33,66%",147.852,153.284,455.397,733.776,,19,"24,52%","28,29%",111.647,128.845,309.020,733.682,,19,"79,35%","51,02%","64,78%","53,12%","15,20%","25,08%","27,46%","3,61%",,19,"14,34%","15,83%","16,72%","28,21%","47,66%","38,07%","35,15%","29,86%",,19,"0,92%","4,21%","11,49%","13,01%","12,46%","28,58%","23,98%","5,35%",,19,"10,46%",733.776,909.684,31.585,108.374,"6,2%","1,4%",,19,"32,47%","33,66%",147.852,153.285,455.397,733.776
Ankara Kazan SC,"12,99%","31,67%",12.588,30.693,96.904,275.471,,Ankara Kazan SC,"11,82%","30,59%",11.450,29.640,61.830,275.449,,Ankara Kazan SC,"79,35%","51,02%","36,11%","7,14%","0,00%","0,12%","0,00%","0,00%",,Ankara Kazan SC,"14,34%","15,83%","12,16%","41,23%","45,50%","38,72%","34,88%","18,21%",,Ankara Kazan SC,6.766,30.884,24.825,32.368,40.751,63.827,52.679,23.371,,Ankara Kazan SC,,275.471,,,45.862,10.518,6.372,,Pazartesi,"36,26%","31,35%",31.076,26.868,85.712,123.676
Esenyurt SC ,"25,86%","36,68%",30.543,43.322,118.105,141.230,,Esenyurt SC ,"23,26%","36,68%",27.466,43.319,99.466,141.183,,Esenyurt SC ,"0,00%","0,00%","70,24%","74,17%","5,64%","0,03%","0,00%","0,00%",,Esenyurt SC ,"0,00%","0,00%","16,34%","11,35%","56,08%","45,65%","40,84%","0,00%",,Esenyurt SC ,0,0,43.104,9.281,36.638,16.042,36.165,0,,Esenyurt SC ,,141.230,,,21.633,843,0,,Salı,"28,08%","34,76%",23.196,28.715,82.619,130.749
Gebze SC,"29,63%","49,32%",36.822,61.290,124.279,159.425,,Gebze SC,"20,51%","33,83%",25.491,42.043,75.515,159.413,,Gebze SC,"0,00%","0,00%","66,27%","51,83%","59,21%","2,05%","20,87%","0,00%",,Gebze SC,"0,00%","0,00%","20,32%","35,37%","27,84%","77,07%","58,13%","35,80%",,Gebze SC,0,0,16.385,40.646,14.043,40.099,36.061,12.191,,Gebze SC,,159.425,,,20.485,2.380,0,,Çarşamba,"21,62%","45,99%",15.424,32.817,71.350,119.541
Bursa MH,"59,55%","13,31%",33.323,7.451,55.962,58.376,,Bursa MH,"43,40%","5,92%",24.285,3.314,27.674,58.370,,Bursa MH,"0,00%","0,00%","0,00%","0,00%","0,00%","55,34%","97,20%","21,96%",,Bursa MH,"0,00%","0,00%","0,00%","0,00%","0,00%","13,69%","0,02%","39,99%",,Bursa MH,0,0,0,0,0,45.721,8.973,3.682,,Bursa MH,,58.376,,,11.535,5.738,0,,Perşembe,"27,13%","36,08%",21.775,28.963,80.264,130.391
Antalya MH,"12,96%","35,87%",3.803,10.528,29.348,56.244,,Antalya MH,"10,85%","35,87%",3.183,10.528,24.749,56.244,,Antalya MH,"0,00%","0,00%","0,00%","0,00%","0,00%","24,72%","0,00%","0,00%",,Antalya MH,"0,00%","0,00%","0,00%","0,00%","0,00%","30,17%","42,15%","0,00%",,Antalya MH,0,0,0,0,0,38.957,17.287,0,,Antalya MH,,56.244,,,8.859,8.859,0,,Cuma,"22,35%","40,96%",17.172,31.467,76.818,118.955
Denizli MH,"99,89%","0,00%",15.945,0,15.962,19.635,,Denizli MH,"30,99%","0,00%",4.947,0,4.950,19.634,,Denizli MH,"0,00%","0,00%","0,00%","0,00%","0,00%","99,98%","99,86%","0,00%",,Denizli MH,"0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",,Denizli MH,0,0,0,0,0,5.098,14.537,0,,Denizli MH,,19.635,,,0,0,0,,Cumartesi,"66,87%","7,60%",39.209,4.455,58.634,110.464
İkitelli-Defne Transfer Merkezi,"99,94%","0,00%",14.828,0,14.837,23.395,,İkitelli-Defne Transfer Merkezi,"99,92%","0,01%",14.825,1,14.836,23.389,,İkitelli-Defne Transfer Merkezi,"0,00%","0,00%","0,00%","99,95%","0,00%","0,00%","99,93%","0,00%",,İkitelli-Defne Transfer Merkezi,"0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,01%","0,00%",,İkitelli-Defne Transfer Merkezi,0,0,0,13.151,0,0,10.244,0,,İkitelli-Defne Transfer Merkezi,,23.395,,,0,0,0,,,,,,,,
11 Mayıs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seçkin Erol,0. gün 1. slot oran,0. gün 2. slot oran ,0. gün 1. slot Adet,0. gün 2. slot adet,hesaplanan_adet,gonderi_adet,,Seçkin Erol,0. gün 1. slot oran,0. gün 2. slot oran ,0. gün 1. slot Adet,0. gün 2. slot adet,hesaplanan_adet,gonderi_adet,,Seçkin Erol,17,18,19,20,21,22,23,0,,Seçkin Erol,17,18,19,20,21,22,23,0,,Seçkin Erol,17,18,19,20,21,22,23,0,,Seçkin Erol,%,Total Gönderi,Haftalık mp adeti,Gece inbound,V1 (01:00-16:00),1,2,,Seçkin Erol,0. gün 1. slot oran,0. gün 2. slot oran ,0. gün 1. slot Adet,0. gün 2. slot adet,hesaplanan_adet,gonderi_adet
20,"30,52%","36,09%",112.809,133.426,369.667,630.190,,20,"24,47%","30,65%",90.449,113.315,255.108,630.190,,20,"0,00%","68,80%","70,19%","2,85%","24,89%","32,86%","6,58%","8,03%",,20,"0,00%","12,24%","18,20%","45,94%","41,77%","34,11%","50,63%","35,60%",,20,"0,00%","9,20%","15,02%","9,39%","12,68%","24,88%","25,37%","3,45%",,20,"10,40%",630.190,802.408,52.337,117.900,"4,9%","2,5%",,20,"30,52%","36,09%",112.809,133.428,369.667,630.190
Ankara Kazan SC,"11,67%","33,04%",9.442,26.732,80.918,237.710,,Ankara Kazan SC,"10,70%","31,57%",8.660,25.548,51.663,237.710,,Ankara Kazan SC,"0,00%","62,86%","0,00%","2,23%","0,25%","0,00%","0,00%","0,00%",,Ankara Kazan SC,"0,00%","11,70%","49,74%","43,73%","44,21%","46,56%","28,40%","9,14%",,Ankara Kazan SC,0,40.117,9.018,49.781,37.015,29.156,65.403,7.220,,Ankara Kazan SC,,237.710,,,51.263,13.937,5.858,,Pazartesi,"29,96%","35,70%",23.970,28.558,79.995,129.428
Esenyurt SC ,"23,63%","45,21%",22.767,43.564,96.358,121.532,,Esenyurt SC ,"20,33%","45,21%",19.589,43.564,80.506,121.532,,Esenyurt SC ,"0,00%","75,47%","68,73%","4,27%","0,85%","7,56%","0,15%","0,00%",,Esenyurt SC ,"0,00%","12,84%","20,53%","51,01%","67,09%","53,66%","59,14%","2,02%",,Esenyurt SC ,0,17.886,26.315,9.424,9.806,8.574,48.865,662,,Esenyurt SC ,,121.532,,,26.596,0,0,,Salı,"23,47%","37,36%",19.328,30.761,82.347,128.925
Gebze SC,"32,27%","47,65%",31.721,46.834,98.289,137.758,,Gebze SC,"22,41%","31,53%",22.031,30.989,59.130,137.758,,Gebze SC,"0,00%","0,00%","72,29%","0,00%","28,11%","14,90%","4,92%","0,00%",,Gebze SC,"0,00%","0,00%","17,08%","0,00%","56,76%","66,43%","66,87%","52,63%",,Gebze SC,0,0,50.731,0,18.253,28.413,29.604,10.757,,Gebze SC,,137.758,,,26.484,0,1.237,,Çarşamba,"26,49%","41,95%",15.078,23.879,56.924,96.685
Bursa MH,"62,20%","10,47%",31.110,5.237,50.014,52.963,,Bursa MH,"45,53%","4,30%",22.771,2.153,25.050,52.963,,Bursa MH,"0,00%","0,00%","0,00%","0,00%","0,00%","63,69%","0,00%","39,44%",,Bursa MH,"0,00%","0,00%","0,00%","0,00%","0,00%","9,40%","0,00%","26,85%",,Bursa MH,0,0,0,0,0,49.834,0,3.129,,Bursa MH,,52.963,,,9.341,0,2.246,,Perşembe,"33,38%","34,70%",16.215,16.858,48.582,85.178
Antalya MH,"22,96%","32,39%",7.840,11.059,34.145,63.421,,Antalya MH,"21,87%","32,39%",7.469,11.059,28.816,63.421,,Antalya MH,"0,00%","0,00%","0,00%","0,00%","54,78%","0,00%","0,00%","0,00%",,Antalya MH,"0,00%","0,00%","0,00%","0,00%","11,49%","46,66%","53,64%","0,00%",,Antalya MH,0,0,0,0,14.845,40.816,7.760,0,,Antalya MH,,63.421,,,4.216,4.216,0,,Cuma,"27,83%","40,05%",15.755,22.675,56.613,101.843
Denizli MH,"0,00%","0,00%",0,0,0,0,,Denizli MH,"0,00%","0,00%",0,0,0,0,,Denizli MH,"0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",,Denizli MH,"0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",,Denizli MH,0,0,0,0,0,0,0,0,,Denizli MH,,0,,,0,0,0,,Cumartesi,"49,69%","23,66%",22.463,10.697,45.206,88.131
İkitelli-Defne Transfer Merkezi,"99,86%","0,00%",9.929,0,9.943,16.806,,İkitelli-Defne Transfer Merkezi,"99,86%","0,02%",9.929,2,9.943,16.806,,İkitelli-Defne Transfer Merkezi,"0,00%","0,00%","99,82%","0,00%","0,00%","0,00%","99,90%","0,00%",,İkitelli-Defne Transfer Merkezi,"0,00%","0,00%","0,02%","0,00%","0,00%","0,00%","0,02%","0,00%",,İkitelli-Defne Transfer Merkezi,0,0,8.569,0,0,0,8.237,0,,İkitelli-Defne Transfer Merkezi,,16.806,,,0,0,0,,,,,,,,
18 Mayıs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buse Nizam,0. gün 1. slot oran,0. gün 2. slot oran ,0. gün 1. slot Adet,0. gün 2. slot adet,hesaplanan_adet,gonderi_adet,,Buse Nizam,0. gün 1. slot oran,0. gün 2. slot oran ,0. gün 1. slot Adet,0. gün 2. slot adet,hesaplanan_adet,gonderi_adet,,Buse Nizam,17,18,19,20,21,22,23,0,,Buse Nizam,17,18,19,20,21,22,23,0,,Buse Nizam,17,18,19,20,21,22,23,0,,Buse Nizam,%,Total Gönderi,Haftalık mp adeti,Gece inbound,V1 (01:00-16:00),1,2,,Buse Nizam,0. gün 1. slot oran,0. gün 2. slot oran ,0. gün 1. slot Adet,0. gün 2. slot adet,hesaplanan_adet,gonderi_adet
21,"42,07%","30,76%",126.361,92.400,300.384,519.713,,21,"31,00%","25,90%",93.121,77.803,203.045,519.713,,21,"88,69%","57,50%","77,86%","60,13%","23,60%","57,58%","6,77%","0,00%",,21,"3,42%","24,49%","12,65%","19,97%","46,54%","13,22%","55,51%","37,55%",,21,"1,90%","8,77%","16,92%","8,94%","9,74%","23,68%","27,62%","2,43%",,21,"6,38%",601.996,732.680,27.168,65.573,"2,4%","2,1%",,21,"42,07%","30,76%",126.361,92.403,300.384,519.713
Ankara Kazan SC,"21,65%","29,48%",13.298,18.114,61.435,192.671,,Ankara Kazan SC,"16,63%","27,49%",10.217,16.890,38.135,192.671,,Ankara Kazan SC,"88,69%","63,80%","4,33%","24,70%","0,00%","0,00%","0,00%","0,00%",,Ankara Kazan SC,"3,42%","12,19%","36,78%","37,84%","45,57%","31,88%","39,12%","11,75%",,Ankara Kazan SC,9.855,29.175,7.291,36.050,22.975,35.282,42.542,9.501,,Ankara Kazan SC,,227.642,,,37.271,7.332,1.846,,Pazartesi,"99,78%","0,03%",39.276,10,39.361,53.562
Esenyurt SC ,"38,26%","37,28%",30.195,29.420,78.913,99.697,,Esenyurt SC ,"32,24%","37,28%",25.445,29.419,64.418,99.697,,Esenyurt SC ,"0,00%","51,82%","88,77%","99,59%","5,66%","0,00%","1,30%","0,00%",,Esenyurt SC ,"0,00%","35,56%","3,10%","0,07%","63,34%","0,00%","57,41%","0,00%",,Esenyurt SC ,0,16.406,23.484,10.424,9.761,0,39.622,0,,Esenyurt SC ,,114.284,,,9.945,0,4.526,,Salı,"34,51%","28,86%",15.472,12.938,44.831,86.185
Gebze SC,"37,66%","47,68%",28.407,35.966,75.426,104.256,,Gebze SC,"23,81%","31,02%",17.957,23.396,43.816,104.256,,Gebze SC,"0,00%","0,00%","71,53%","0,00%","0,14%","90,69%","10,33%","0,00%",,Gebze SC,"0,00%","0,00%","18,86%","0,00%","82,86%","2,17%","70,68%","73,97%",,Gebze SC,0,0,47.123,0,9.003,5.273,39.717,3.140,,Gebze SC,,129.411,,,8.570,0,0,,Çarşamba,"20,18%","49,94%",14.284,35.341,70.770,115.522
Bursa MH,"79,66%","2,17%",36.924,1.006,46.354,48.824,,Bursa MH,"48,76%","0,43%",22.603,201,23.040,48.824,,Bursa MH,"0,00%","0,00%","0,00%","0,00%","0,00%","79,66%","0,00%","0,00%",,Bursa MH,"0,00%","0,00%","0,00%","0,00%","0,00%","2,17%","0,00%","0,00%",,Bursa MH,0,0,0,0,0,48.824,0,0,,Bursa MH,,48.824,,,9.787,0,0,,Perşembe,"26,92%","39,62%",16.366,24.089,60.795,105.687
Antalya MH,"31,08%","26,27%",9.340,7.894,30.050,59.541,,Antalya MH,"28,96%","26,27%",8.702,7.894,25.430,59.541,,Antalya MH,"0,00%","0,00%","0,00%","0,00%","81,15%","0,25%","21,56%","0,00%",,Antalya MH,"0,00%","0,00%","0,00%","0,00%","0,49%","48,65%","24,68%","0,00%",,Antalya MH,0,0,0,0,8.882,29.004,21.655,0,,Antalya MH,,67.111,,,0,0,0,,Cuma,"29,39%","38,52%",14.270,18.703,48.559,88.755
Denizli MH,"0,00%","0,00%",0,0,0,0,,Denizli MH,"0,00%","0,00%",0,0,0,0,,Denizli MH,"0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",,Denizli MH,"0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",,Denizli MH,0,0,0,0,0,0,0,0,,Denizli MH,,0,,,0,0,0,,Cumartesi,"74,01%","3,67%",26.693,1.322,36.068,70.002
İkitelli-Defne Transfer Merkezi,"99,89%","0,00%",8.197,0,8.206,14.724,,İkitelli-Defne Transfer Merkezi,"99,89%","0,04%",8.197,3,8.206,14.724,,İkitelli-Defne Transfer Merkezi,"0,00%","0,00%","99,87%","0,00%","0,00%","99,92%","0,00%","0,00%",,İkitelli-Defne Transfer Merkezi,"0,00%","0,00%","0,05%","0,00%","0,00%","0,00%","0,00%","0,00%",,İkitelli-Defne Transfer Merkezi,0,0,10.023,0,0,4.701,0,0,,İkitelli-Defne Transfer Merkezi,,14.724,,,0,0,0,,,,,,,,
25 Mayıs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mehmet Ali,0. gün 1. slot oran,0. gün 2. slot oran ,0. gün 1. slot Adet,0. gün 2. slot adet,hesaplanan_adet,gonderi_adet,,Mehmet Ali,0. gün 1. slot oran,0. gün 2. slot oran ,0. gün 1. slot Adet,0. gün 2. slot adet,hesaplanan_adet,gonderi_adet,,Mehmet Ali,17,18,19,20,21,22,23,0,,Mehmet Ali,17,18,19,20,21,22,23,0,,Mehmet Ali,17,18,19,20,21,22,23,0,,Mehmet Ali,%,Total Gönderi,Haftalık mp adeti,Gece inbound,V1 (01:00-16:00),1,2,,Mehmet Ali,0. gün 1. slot oran,0. gün 2. slot oran ,0. gün 1. slot Adet,0. gün 2. slot adet,hesaplanan_adet,gonderi_adet
22,"41,94%","4,06%",27.113,2.627,64.651,110.627,,22,"32,31%","3,17%",20.891,2.051,43.442,110.608,,22,"0,00%","79,06%","61,92%","46,55%","55,69%","36,10%","0,89%","0,00%",,22,"0,00%","0,00%","1,83%","0,10%","2,11%","0,02%","15,34%","0,00%",,22,"0,00%","6,04%","23,68%","7,15%","20,66%","23,88%","18,59%","0,00%",,22,"1,44%",601.996,191.157,2.367,11.046,"8,8%","0,0%",,22,"41,94%","4,06%",27.113,2.627,64.651,110.627
Ankara Kazan SC,"23,58%","0,27%",3.161,36,13.407,42.233,,Ankara Kazan SC,"19,27%","0,27%",2.584,36,8.532,42.220,,Ankara Kazan SC,"0,00%","79,06%","5,06%","46,55%","0,00%","0,00%","0,00%","0,00%",,Ankara Kazan SC,"0,00%","0,00%","0,65%","0,10%","0,65%","0,10%","0,21%","0,00%",,Ankara Kazan SC,0,6.680,5.862,7.913,8.290,8.312,5.176,0,,Ankara Kazan SC,,227.642,,,5.702,5.702,0,,Pazartesi,"44,83%","4,34%",27.019,2.615,60.275,101.983
Esenyurt SC ,"54,05%","1,80%",10.091,336,18.669,24.008,,Esenyurt SC ,"47,89%","1,80%",8.940,336,15.535,24.004,,Esenyurt SC ,"0,00%","0,00%","90,06%","0,00%","61,30%","0,00%","2,13%","0,00%",,Esenyurt SC ,"0,00%","0,00%","0,06%","0,00%","1,26%","0,00%","4,54%","0,00%",,Esenyurt SC ,0,0,9.143,0,7.913,0,6.952,0,,Esenyurt SC ,,114.284,,,2.477,0,0,,Salı,"0,00%","0,00%",0,0,0,0
Gebze SC,"41,40%","11,62%",8.032,2.255,19.403,26.285,,Gebze SC,"26,37%","8,65%",5.117,1.679,11.287,26.284,,Gebze SC,"0,00%","0,00%","52,07%","0,00%","75,59%","0,00%","0,00%","0,00%",,Gebze SC,"0,00%","0,00%","3,54%","0,00%","3,94%","0,00%","28,27%","0,00%",,Gebze SC,0,0,11.194,0,6.650,0,8.441,0,,Gebze SC,,129.411,,,2.867,0,0,,Çarşamba,"0,00%","0,00%",0,0,0,0
Bursa MH,"70,03%","0,00%",5.829,0,8.323,8.945,,Bursa MH,"51,06%","0,00%",4.250,0,4.255,8.944,,Bursa MH,"0,00%","0,00%","0,00%","0,00%","0,00%","70,03%","0,00%","0,00%",,Bursa MH,"0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",,Bursa MH,0,0,0,0,0,8.945,0,0,,Bursa MH,,48.824,,,0,0,0,,Perşembe,"0,00%","0,00%",0,0,0,0
Antalya MH,"0,00%","0,00%",0,0,4.849,9.156,,Antalya MH,"0,00%","0,00%",0,0,3.833,9.156,,Antalya MH,"0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",,Antalya MH,"0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",,Antalya MH,0,0,0,0,0,9.156,0,0,,Antalya MH,,67.111,,,0,0,0,,Cuma,"0,00%","0,00%",0,0,0,0
Denizli MH,"0,00%","0,00%",0,0,0,0,,Denizli MH,"0,00%","0,00%",0,0,0,0,,Denizli MH,"0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",,Denizli MH,"0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",,Denizli MH,0,0,0,0,0,0,0,0,,Denizli MH,,0,,,0,0,0,,Cumartesi,"2,15%","0,27%",94,12,4.376,8.644
İkitelli-Defne Transfer Merkezi,"0,00%","0,00%",0,0,0,0,,İkitelli-Defne Transfer Merkezi,"0,00%","0,00%",0,0,0,0,,İkitelli-Defne Transfer Merkezi,"0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",,İkitelli-Defne Transfer Merkezi,"0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",,İkitelli-Defne Transfer Merkezi,0,0,0,0,0,0,0,0,,İkitelli-Defne Transfer Merkezi,,14.724,,,0,0,0,,,,,,,,
1 Haziran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seçkin Erol,0. gün 1. slot oran,0. gün 2. slot oran ,0. gün 1. slot Adet,0. gün 2. slot adet,hesaplanan_adet,gonderi_adet,,Seçkin Erol,0. gün 1. slot oran,0. gün 2. slot oran ,0. gün 1. slot Adet,0. gün 2. slot adet,hesaplanan_adet,gonderi_adet,,Seçkin Erol,17,18,19,20,21,22,23,0,,Seçkin Erol,17,18,19,20,21,22,23,0,,Seçkin Erol,17,18,19,20,21,22,23,0,,Seçkin Erol,%,Total Gönderi,Haftalık mp adeti,Gece inbound,V1 (01:00-16:00),1,2,,Seçkin Erol,0. gün 1. slot oran,0. gün 2. slot oran ,0. gün 1. slot Adet,0. gün 2. slot adet,hesaplanan_adet,gonderi_adet
23,"36,16%","32,02%",152.348,134.892,421.337,677.566,,23,"27,83%","27,59%",117.251,116.230,290.334,677.566,,23,"0,00%","68,79%","78,45%","30,96%","36,26%","36,56%","0,34%","41,01%",,23,"0,00%","14,68%","10,76%","31,67%","35,05%","30,63%","52,88%","12,63%",,23,"0,00%","13,40%","9,35%","12,79%","12,86%","23,46%","25,47%","2,67%",,23,"10,60%",601.996,909.000,46.498,110.316,"4,8%","2,3%",,23,"36,16%","32,02%",152.348,134.892,421.337,677.566
Ankara Kazan SC,"16,53%","34,41%",14.225,29.608,86.037,236.981,,Ankara Kazan SC,"14,41%","32,63%",12.400,28.077,55.005,236.981,,Ankara Kazan SC,"0,00%","66,81%","0,00%","8,89%","0,00%","0,00%","0,00%","0,00%",,Ankara Kazan SC,"0,00%","11,11%","0,00%","43,40%","43,84%","36,62%","43,35%","21,08%",,Ankara Kazan SC,0,46.205,0,58.383,33.772,33.058,51.942,13.621,,Ankara Kazan SC,,227.642,,,34.546,8.135,1.151,,Pazartesi,"37,91%","28,67%",41.934,31.714,110.615,152.136
Esenyurt SC ,"27,46%","40,19%",30.652,44.868,111.635,134.794,,Esenyurt SC ,"23,77%","40,19%",26.538,44.868,93.384,134.794,,Esenyurt SC ,"0,00%","46,48%","86,30%","26,56%","26,03%","2,12%","0,00%","0,00%",,Esenyurt SC ,"0,00%","32,53%","6,89%","27,61%","51,03%","57,89%","50,88%","0,00%",,Esenyurt SC ,0,20.279,26.183,10.129,18.749,21.206,38.248,0,,Esenyurt SC ,,114.284,,,29.268,12.222,0,,Salı,"31,76%","28,54%",25.022,22.485,78.779,127.332
Gebze SC,"41,52%","38,94%",46.398,43.514,111.750,141.230,,Gebze SC,"29,18%","25,59%",32.609,28.600,67.744,141.230,,Gebze SC,"0,00%","89,34%","75,91%","49,08%","42,49%","38,16%","1,00%","0,00%",,Gebze SC,"0,00%","1,98%","13,72%","35,37%","44,27%","46,66%","62,74%","0,00%",,Gebze SC,0,16.051,31.203,9.432,16.368,29.391,38.785,0,,Gebze SC,,129.411,,,31.633,0,8.442,,Çarşamba,"30,02%","38,81%",22.439,29.010,74.740,118.989
Bursa MH,"64,43%","7,21%",35.914,4.018,55.743,59.291,,Bursa MH,"42,73%","3,23%",23.817,1.801,26.895,59.291,,Bursa MH,"0,00%","0,00%","0,00%","76,87%","79,57%","60,53%","0,00%","33,29%",,Bursa MH,"0,00%","0,00%","0,00%","1,38%","2,73%","8,70%","0,00%","20,78%",,Bursa MH,0,0,0,8.703,5.948,43.782,0,858,,Bursa MH,,48.824,,,14.869,0,0,,Perşembe,"37,64%","31,45%",19.852,16.588,52.748,94.834
