v3,1 ile 10. satır aralığı yönetici bazlı v3 performans tablosudur (Varış merkezinde 12:00 den önce karşılanan seferleri hesaplar),,,,,,,Only City,,,,,,,,Saatlik 1. slot yetişme oranları,,,,,,,,,,Saatlik 2. slot yetişme oranları,,,,,,,,,,Saatlik hesaplanan adetler,,,,,,0.6905103146,0.9747892704,,,01:00 den 16:00 ya kadar yüklenen adetler,,,,,,,,,Günlük yetişme oranları,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6833089865,0.9705554363,,,,,,,,,,,,,,,,,,
Mehmet Ali,0. gün 1. slot oran,0. gün 2. slot oran ,0. gün 1. slot Adet,0. gün 2. slot adet,hesaplanan_adet,gonderi_adet,,Mehmet Ali,0. gün 1. slot oran,0. gün 2. slot oran ,0. gün 1. slot Adet,0. gün 2. slot adet,hesaplanan_adet,gonderi_adet,,Mehmet Ali,17,18,19,20,21,22,23,0,,Mehmet Ali,17,18,19,20,21,22,23,0,,Mehmet Ali,17,18,19,20,21,22,23,0,,Mehmet Ali,%,Total Gönderi,,Gece inbound,V1,1,2,,Mehmet Ali,0. gün 1. slot oran,0. gün 2. slot oran ,0. gün 1. slot Adet,0. gün 2. slot adet,hesaplanan_adet,gonderi_adet
YTD,0.3085687849,0.3560514303,703651,811929,2280370,3795845,,YTD,0.2485710652,0.3022013971,566834,689131,1558267,3788023,,YTD,0.5854467521,0.6028787995,0.6803634602,0.448221497,0.1270755576,0.2804977494,0.2060125491,0.1580862409,,YTD,0.08853395928,0.1252633159,0.157312613,0.3792395237,0.4245127322,0.2842358218,0.4520116472,0.3615495561,,YTD,0.01234481387,0.07002498785,0.09738595754,0.1352054681,0.1257129835,0.2426347757,0.2872464497,0.02944456373,,YTD,,3795845,,,322366,0.02426047428,0.009374987651,,YTD,0.3085687849,0.3560514303,703651,811929,2280370,3795845
Ankara Kazan SC,0.1057529196,0.3250436354,51743,159038,489282,1399618,,Ankara Kazan SC,0.1190683491,0.3154254602,58258,154332,313227,1392225,,Ankara Kazan SC,0.5900218103,0.4539097353,0.1543167913,0.0488957969,0.004624701346,0.0002740373258,0,0,,Ankara Kazan SC,0.1972977509,0.1954921385,0.4345593194,0.3200541789,0.5202369937,0.5067749987,0.3080126335,0.4759916493,,Ankara Kazan SC,46344,186651,87260,182656,249743,299823,296278,50863,,Ankara Kazan SC,,1399618,,,116059,33805,7872,,Pazartesi,0.2698964046,0.3937632646,128441,187388,475890,723051
Esenyurt SC ,0.2937126249,0.398555726,177455,240799,604179,748410,,Esenyurt SC ,0.2656828523,0.3985160027,160520,240775,509065,748113,,Esenyurt SC ,0,0.7951744489,0.8003315645,0.3900621118,0.1255884992,0.05150862547,0.001745355056,0,,Esenyurt SC ,0,0.06853045418,0.1333970934,0.1906499763,0.9808026791,0.7955952661,0.4222659408,1.180175659,,Esenyurt SC ,0,61831,192278,18333,162400,106284,199248,8036,,Esenyurt SC ,,748410,,,76216,11933,12615,,Salı,0.2649719463,0.3672699796,112917,156511,426147,680043
Gebze SC,0.2868897213,0.5016628171,173395,303203,604396,804651,,Gebze SC,0.2161000404,0.3372987247,130610,203862,362573,804572,,Gebze SC,0.0970464135,0.6044940289,0.5602790717,0.519196592,0.1750169517,0.13643844,0.1165055578,0,,Gebze SC,0.3583743842,0.07602640809,0.1868141638,0.5161661535,0.3288420385,0.9008509598,0.5741089398,1.452526961,,Gebze SC,515,8877,68125,261845,48981,174120,212610,29578,,Gebze SC,,804651,,,69823,19829,5435,,Çarşamba,0.2594071265,0.3999844739,93564,144268,360684,599345
Bursa MH,0.6207274423,0.1233987276,186361,37048,300230,318504,,Bursa MH,0.4324917563,0.06102987709,129847,18323,149009,318467,,Bursa MH,0,0,0.8920598389,0.8530385277,0.6999544004,0.6250326755,0.6169163392,0.3230678698,,Bursa MH,0,0,0,0.1138648585,0.03026200526,0.1009950072,0.5408866197,0.3011225221,,Bursa MH,0,0,4636,15987,9665,216021,51205,20990,,Bursa MH,,318504,,,39662,10189,5497,,Perşembe,0.2881970915,0.3576669323,100556,124795,348914,599987
Antalya MH,0.03329768477,0.4152614389,5760,71834,172985,357725,,Antalya MH,0.02970777813,0.4152498772,5139,71832,141833,357725,,Antalya MH,0,0,0,0,0,0.08352808794,0.01550450855,0,,Antalya MH,0,0,0,0,0,0.3844335711,0.4354112763,0,,Antalya MH,0,0,0,12450,0,107858,237417,0,,Antalya MH,,357725,,,20606,16333,4167,,Cuma,0.2601077496,0.4061695446,99312,155080,381811,635589
Denizli MH,0.9929819169,0,38768,0,39042,48122,,Denizli MH,0.3149172686,0,12295,0,12306,48120,,Denizli MH,0,0,0,0,0,0.9997873245,0.9980386052,0.9054054054,,Denizli MH,0,0,0,0,0,0,0,0,,Denizli MH,0,0,0,0,0,5098,40724,2300,,Denizli MH,,48122,,,0,0,0,,Cumartesi,0.5885216991,0.1529568806,168861,43887,286924,557830
İkitelli-Defne Transfer Merkezi,0.9987616716,9.963561831e-05,70169,7,70256,118815,,İkitelli-Defne Transfer Merkezi,0.998704737,9.963561831e-05,70165,7,70254,118801,,İkitelli-Defne Transfer Merkezi,0,0.9988198269,0.9998839369,0.9996824137,0.994600432,0.9951817784,0.9993115421,0,,İkitelli-Defne Transfer Merkezi,0,0.0002876042565,0,0,0,7.777864198e-05,0.0002386444992,0,,İkitelli-Defne Transfer Merkezi,0,8445,17363,21948,6398,11800,52861,0,,İkitelli-Defne Transfer Merkezi,,118815,,,0,0,0,,,,,,,,
